tijdstip,waarde
2015-12-31 01:00,22.5
2015-12-31 02:00,23.7
2015-12-31 03:00,20.1
2015-12-31 04:00,22.3
2015-12-31 05:00,22.1
2015-12-31 06:00,20.7
2015-12-31 07:00,11.4
2015-12-31 08:00,12.2
2015-12-31 09:00,12.1
2015-12-31 10:00,9.6
2015-12-31 11:00,15.6
2015-12-31 12:00,19.1
2015-12-31 13:00,87.4
2015-12-31 14:00,63.6
2015-12-31 15:00,15.6
2015-12-31 16:00,19.3
2015-12-31 17:00,20.3
2015-12-31 18:00,22.5
2015-12-31 19:00,31.7
2015-12-31 20:00,34.2
2015-12-31 21:00,43.1
2015-12-31 22:00,50.5
2015-12-31 23:00,50.1
2016-01-01 00:00,53.5
2016-01-01 01:00,415.7
2016-01-01 01:00,415.7
2016-01-01 01:00,415.7
2016-01-01 02:00,227
2016-01-01 03:00,115.1
2016-01-01 04:00,69.4
2016-01-01 05:00,54.9
2016-01-01 06:00,40.7
2016-01-01 07:00,37.2
2016-01-01 08:00,33.6
2016-01-01 09:00,34.4
2016-01-01 10:00,30.7
2016-01-01 11:00,30.7
2016-01-01 12:00,29.8
2016-01-01 13:00,28.6
2016-01-01 14:00,20.1
2016-01-01 15:00,23
2016-01-01 16:00,22
2016-01-01 17:00,23.8
2016-01-01 18:00,17.6
2016-01-01 19:00,30.7
2016-01-01 20:00,27.3
2016-01-01 21:00,42.6
2016-01-01 22:00,45.5
2016-01-01 23:00,38.9
2016-01-02 00:00,34.9
