"DateTime","NO2","PM10"
"2017-12-31 00:00:00",13,33
"2017-12-31 01:00:00",12,42
"2017-12-31 02:00:00",11,30
"2017-12-31 03:00:00",15,22
"2017-12-31 04:00:00",16,17
"2017-12-31 05:00:00",14,17
"2017-12-31 06:00:00",9,8
"2017-12-31 07:00:00",7,8
"2017-12-31 08:00:00",7,8
"2017-12-31 09:00:00",9,6
"2017-12-31 10:00:00",7,7
"2017-12-31 11:00:00",9,9
"2017-12-31 12:00:00",10,4
"2017-12-31 13:00:00",11,3
"2017-12-31 14:00:00",22,3
"2017-12-31 15:00:00",15,1
"2017-12-31 16:00:00",16,3
"2017-12-31 17:00:00",14,5
"2017-12-31 18:00:00",33,6
"2017-12-31 19:00:00",36,5
"2017-12-31 20:00:00",24,7
"2017-12-31 21:00:00",18,14
"2017-12-31 22:00:00",11,25
"2017-12-31 23:00:00",18,22
"2018-01-01 00:00:00",8,23
"2018-01-01 01:00:00",11,88
"2018-01-01 02:00:00",9,54
"2018-01-01 03:00:00",7,20
"2018-01-01 04:00:00",6,9
"2018-01-01 05:00:00",5,4
"2018-01-01 06:00:00",4,4
"2018-01-01 07:00:00",5,8
"2018-01-01 08:00:00",14,10
"2018-01-01 09:00:00",15,10
"2018-01-01 10:00:00",11,7
"2018-01-01 11:00:00",11,10
"2018-01-01 12:00:00",11,10
"2018-01-01 13:00:00",11,15
"2018-01-01 14:00:00",13,13
"2018-01-01 15:00:00",17,12
"2018-01-01 16:00:00",18,11
"2018-01-01 17:00:00",19,19
"2018-01-01 18:00:00",20,14
"2018-01-01 19:00:00",20,8
"2018-01-01 20:00:00",31,10
"2018-01-01 21:00:00",21,10
"2018-01-01 22:00:00",16,7
"2018-01-01 23:00:00",18,7
